ax,ay,az,gx,gy,gz
-844,67,5148,-1603,-460,-1222
-837,134,4845,-1326,191,-1055
-672,0,4673,-870,1049,-737
-573,-153,4528,-798,1057,-534
-555,-183,4334,-757,917,-409
-656,-93,4100,-813,771,-270
-639,-84,4027,-838,575,-195
-493,-114,4217,-793,461,-199
-450,-252,4387,-791,427,-275
-615,-296,4451,-820,299,-377
-547,-194,4224,-844,298,-664
-449,-205,4148,-711,512,-658
-424,20,3932,-549,289,-586
-317,5,3893,-335,339,-504
-232,-104,3877,-190,388,-429
-171,-191,3802,-208,297,-364
-106,-159,3692,-187,201,-205
-221,-104,3621,-195,13,-252
-376,-61,3505,-132,-274,-296
-387,-92,3595,-23,-182,-200
-413,-168,3682,16,-47,-188
-140,-164,3890,125,201,-244
-75,-301,3961,120,415,-179
-43,-296,3945,-32,417,-190
46,-235,3769,-268,282,-175
91,-76,3549,-283,572,-85
138,-64,3428,-192,676,64
47,-30,3253,-18,398,141
32,45,3203,221,456,168
-62,40,3300,375,500,158
37,-70,3352,332,281,81
181,-220,3405,296,291,150
265,-239,3507,219,162,214
294,-187,3594,111,-152,263
225,34,3414,-63,218,415
211,79,3439,0,457,563
181,89,3517,214,303,571
44,379,3429,444,340,508
261,20,3300,296,307,40
197,60,3308,618,106,291
229,109,3387,839,-53,188
515,33,3463,659,-328,-52
568,53,3392,346,-670,66
524,165,3426,-35,-832,674
338,169,3577,-158,-941,1041
215,148,3596,-21,-1122,1237
271,226,3822,204,-851,1565
-92,234,3898,202,-846,1732
-175,399,3942,431,-811,1605
-61,292,4075,1132,-474,1094
123,-35,4239,1402,-196,704
206,-70,4286,1380,-177,409
156,-70,4296,1188,-399,212
51,-11,4241,1015,-612,87
-81,-10,4298,998,-351,272
-203,60,4420,994,-202,467
-214,168,4841,1047,120,640
-248,194,4981,1001,83,916
-516,268,4983,826,-174,1673
-194,257,4771,452,-459,149
82,193,4501,261,-637,-111
117,305,4340,166,-687,-71
56,480,4188,197,-621,-52
81,408,4211,226,-314,-143
23,489,4115,347,-140,-148
29,372,4161,518,145,-89
60,438,4339,432,218,63
11,394,4594,340,280,171
42,285,4648,204,-122,52
260,325,4548,48,-376,5
341,401,4356,-111,-636,-7
538,458,4203,-78,-654,66
289,-907,5704,-3535,-5204,-994
362,275,4143,-3392,-563,-664
-86,582,4135,-2447,8,-898
265,375,4222,-1173,101,-708
102,22,4247,-429,51,-372
137,35,4225,191,21,-199
274,165,4113,580,-14,19
319,226,4336,892,139,-49
273,178,4346,824,971,196
-34,197,4400,886,2109,565
156,-95,5278,780,1578,425
-132,-77,5228,-50,-71,145
-316,343,4923,-884,-182,-167
-360,663,4468,-864,25,-283
-86,461,4480,-418,504,-283
63,296,4589,10,753,-153
58,109,4599,73,502,-120
140,228,4483,131,290,-131
189,229,4428,168,262,-105
367,7,4534,114,158,-20
318,25,4530,31,155,95
131,205,4423,-4,178,155
