ax,ay,az,gx,gy,gz
42,97,4155,11,146,-71
79,88,4151,15,51,-23
117,81,4163,16,12,1
122,83,4161,12,15,2
119,47,4146,5,59,2
97,78,4161,0,92,3
96,105,4167,-4,50,0
104,92,4165,-3,41,-4
89,83,4148,-3,30,-6
98,86,4157,3,14,-4
116,75,4153,2,2,-2
108,77,4163,8,4,-3
109,68,4151,10,-15,0
101,79,4162,8,-10,0
126,88,4159,8,-32,6
112,88,4144,3,-28,2
122,82,4160,5,-22,1
92,77,4152,5,-13,1
106,71,4155,1,-11,0
112,81,4170,1,-11,-2
98,76,4172,4,5,-5
111,81,4165,1,7,-5
86,74,4154,0,20,-7
120,81,4160,0,36,-5
153,89,4156,4,-2,-5
111,78,4166,8,-25,2
109,72,4171,6,-38,2
116,64,4164,3,-25,1
111,67,4164,11,-27,4
129,71,4167,6,-12,2
109,84,4156,6,3,-1
119,87,4164,1,40,0
104,91,4153,0,78,0
115,77,4167,4,85,-4
131,73,4166,-1,108,-2
90,85,4157,0,104,-3
90,73,4150,10,122,3
104,79,4153,16,42,3
107,86,4156,16,35,1
122,80,4153,14,49,1
126,79,4164,9,44,4
106,76,4164,-1,45,1
93,78,4164,-1,33,3
83,81,4148,-1,39,2
76,77,4167,-3,34,-3
110,83,4156,4,26,-3
109,85,4146,8,-37,-1
91,87,4159,12,-48,-1
135,81,4169,5,-23,-1
120,72,4171,3,1,1
102,71,4151,-2,7,0
92,78,4173,-1,33,-2
98,83,4148,-3,45,-4
80,73,4157,-6,74,-2
119,75,4159,0,117,-2
97,55,4163,6,93,3
68,67,4161,8,60,3
102,84,4167,15,-6,3
112,88,4160,9,-38,6
130,88,4162,11,-38,5
94,83,4162,2,-33,2
68,76,4180,-2,-6,1
80,83,4162,-6,38,-3
104,85,4153,-1,61,-5
117,80,4163,-1,71,-6
81,83,4156,2,39,-3
104,73,4164,4,54,-5
132,74,4160,1,48,-3
97,82,4172,0,14,4
86,77,4161,2,16,4
73,81,4151,3,20,2
87,86,4162,5,34,1
70,86,4165,4,50,0
99,72,4154,8,79,-1
80,80,4170,0,70,3
91,80,4166,-4,99,1
101,73,4162,0,106,3
92,68,4153,-6,110,1
84,68,4158,0,77,2
64,87,4158,1,30,-2
88,88,4163,3,20,0
89,89,4171,4,-4,0
81,80,4158,3,-10,-1
57,77,4153,0,15,-3
73,83,4164,3,19,0
68,84,4145,2,34,-4
103,77,4159,1,49,-4
79,75,4148,-1,6,-1
81,65,4159,4,-1,0
75,75,4166,2,-4,2
67,78,4169,6,-16,-1
87,85,4163,3,-2,-2
72,73,4155,2,7,-3
83,74,4153,3,9,-3
75,91,4170,1,16,0
98,76,4165,1,21,-1
89,75,4165,2,24,-3
60,72,4167,3,24,0
60,73,4155,4,23,2
69,74,4170,6,11,5
83,75,4163,5,-7,1
81,83,4171,8,-16,2
85,71,4158,4,1,0
88,75,4160,-1,10,-5
91,90,4174,-2,0,0
67,79,4141,-1,-5,-4
63,81,4156,3,-15,-3
71,71,4150,10,1,-1
85,94,4167,6,34,-1
88,84,4160,5,32,0
101,81,4149,5,21,3
89,76,4168,1,34,5
66,78,4167,-4,52,3
70,79,4152,-6,60,-2
58,74,4158,-1,70,-4
96,88,4165,3,93,-1
79,81,4149,4,59,1
62,76,4152,7,39,1
63,70,4157,7,18,1
91,71,4165,6,14,3
79,79,4165,5,-10,-2
88,70,4169,2,-9,-4
50,73,4165,4,-27,-2
62,70,4157,1,8,-4
79,86,4157,0,10,-2
85,81,4161,0,19,0
87,72,4164,0,28,5
72,74,4159,1,31,5
75,79,4169,3,26,1
83,81,4166,3,21,3
84,76,4163,2,10,7
67,82,4153,-3,33,3
44,75,4157,0,52,1
53,67,4149,2,44,3
75,68,4163,-3,63,3
97,82,4146,2,66,5
72,80,4175,7,33,5
65,76,4148,-1,8,3
75,74,4162,-1,-5,1
86,72,4159,2,-16,3
57,71,4161,10,-4,1
39,89,4161,14,7,1
61,77,4152,17,7,-1
63,83,4171,6,15,-3
78,79,4163,6,14,-1
67,75,4158,0,-6,1
107,76,4143,0,-42,-3
52,71,4175,4,-37,0
59,74,4166,4,-4,-3
75,70,4168,1,28,-3
82,75,4159,2,39,-4
69,82,4164,2,27,-1
67,80,4164,5,26,-3
68,88,4162,6,8,2
88,75,4166,0,1,-1
57,84,4160,-5,8,0
79,71,4159,-2,23,-2
65,78,4147,3,22,1
72,73,4151,6,27,3
61,76,4158,1,22,0
66,85,4164,-3,19,-4
88,75,4165,1,29,1
76,86,4146,1,19,2
89,78,4152,-1,37,2
57,71,4159,2,37,1
35,70,4167,-2,39,3
48,73,4173,-1,36,1
77,84,4167,-2,24,2
77,84,4163,-2,15,-1
67,75,4149,-3,14,-2
42,76,4164,2,23,0
38,78,4147,5,16,-1
54,80,4165,10,27,-4
73,83,4169,4,33,-5
